snapshot_ts,expiry,days_to_expiry,strike,option_type,bid,ask,mark_price,underlying_price,implied_vol,delta,gamma,vega,open_interest,volume_24h
2026-03-17T17:11:45Z,2026-03-19,2,78000.0,C,0.001,0.0014,0.0012,74196.3868,0.5205,0.07695,6e-05,7.12799,121.1,17.8
2026-03-17T17:11:45Z,2026-03-19,2,78000.0,P,0.015,0.078,0.0524,74195.9073,0.5205,-0.92308,6e-05,7.12605,0.0,0.0
2026-03-17T17:11:45Z,2026-03-19,2,79000.0,C,0.0006,0.0007,0.0006,74195.9073,0.5455,0.04365,3e-05,4.56669,146.8,12.3
2026-03-17T17:11:45Z,2026-03-19,2,79000.0,P,0.0245,0.0695,0.0654,74195.9073,0.5455,-0.95635,3e-05,4.56669,0.0,0.0
2026-03-17T17:11:45Z,2026-03-19,2,80000.0,C,0.0003,0.0005,0.0004,74195.9073,0.5783,0.02634,2e-05,3.01489,114.3,24.5
2026-03-17T17:11:45Z,2026-03-19,2,80000.0,P,0.037,0.1045,0.0786,74195.9073,0.5783,-0.97366,2e-05,3.01489,0.0,0.0
2026-03-17T17:11:45Z,2026-03-19,2,81000.0,C,0.0002,0.0003,0.0003,74195.9073,0.6169,0.01715,1e-05,2.09767,4.7,5.7
2026-03-17T17:11:45Z,2026-03-19,2,81000.0,P,0.0505,0.0975,0.0919,74195.9073,0.6169,-0.98285,1e-05,2.09767,0.0,0.0
2026-03-17T17:11:45Z,2026-03-19,2,82000.0,C,0.0001,0.0002,0.0002,74196.7846,0.6576000000000001,0.01182,1e-05,1.52189,53.0,70.0
2026-03-17T17:11:45Z,2026-03-19,2,82000.0,P,0.0635,0.131,0.1053,74196.7846,0.6576000000000001,-0.98818,1e-05,1.52189,0.0,0.0
2026-03-17T17:11:45Z,2026-03-20,3,50000.0,C,0.3005,0.3515,0.3262,74202.57,1.2975999999999999,0.99987,0.0,0.03229,0.0,0.0
2026-03-17T17:11:45Z,2026-03-20,3,50000.0,P,0.0,0.0001,0.0,74201.61,1.2975999999999999,-0.00013,0.0,0.03231,351.3,0.0
2026-03-17T17:11:45Z,2026-03-20,3,55000.0,C,0.2565,0.261,0.2589,74201.61,1.2785,0.9976,0.0,0.46969,0.2,0.2
2026-03-17T17:11:45Z,2026-03-20,3,55000.0,P,0.0,0.0002,0.0001,74201.61,1.2785,-0.0024,0.0,0.46969,698.0,5.2
